Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%,POS
Spencer Dinwiddie,BKN,49,28.5,26,23,0.6,0.2,2,0.7,1.1,62.3,Guard
Shai Gilgeous-Alexander,LAC,48,26.2,26,22,1,0.6,2,1.8,2.7,65.6,G/F
Serge Ibaka,TOR,46,28.6,34,12,0.5,1.3,5.3,2.5,5.1,50,C/F
Ryan Arcidiacono,CHI,46,25.8,11,35,1,0,2.1,1.2,1.8,67.9,Guard
Russell Westbrook,OKC,39,35.4,24,15,2.4,0.3,9.1,1.6,2.2,70.1,Guard
Rudy Gobert,UTA,48,31.6,27,21,0.9,2.1,9.3,4.3,7.5,57.2,Center
Rudy Gay,SAS,39,27,23,16,0.9,0.6,5.4,1.4,2.1,66.7,Forward
Rodney McGruder,MIA,44,27.1,21,23,0.6,0.2,2.9,1.4,2.3,61.8,G/F
Rodney Hood,CLE,41,27.2,8,33,0.8,0.1,2,1.7,2.2,74.7,G/F
Robert Covington,MIN,35,34.4,20,15,2.1,1.3,4.7,2.3,3.6,63,Forward
Ricky Rubio,UTA,41,28.6,20,21,1.3,0.2,3.1,1.5,2,73.2,Guard
Reggie Jackson,DET,47,28.6,21,26,0.7,0.1,2.2,1.7,2.2,76,Guard
Reggie Bullock,DET,39,30.7,20,19,0.5,0.1,2.2,1.7,2.3,72.5,G/F
PJ Tucker,HOU,47,35.4,27,20,1.4,0.4,4.8,2,3.1,64.8,Forward
Paul Millsap,DEN,38,25.8,26,12,1.3,0.8,4.6,2.2,3.5,61.2,Forward
Paul George,OKC,46,35.9,28,18,2.3,0.5,6.4,2.2,3.4,65.4,Forward
Patrick Beverley,LAC,48,25.7,26,22,0.7,0.4,3.5,1.5,2.1,69.3,Guard
Pascal Siakam,TOR,49,31.2,36,13,1,0.7,5.4,1.8,3.1,58.8,Forward
Otto Porter Jr.,WAS,33,28.7,15,18,1.5,0.6,4.6,1.8,3.1,57.4,Forward
Noah Vonleh,NYK,45,26.6,10,35,0.8,0.9,6.4,2.4,3.7,66.1,Forward
Nikola Vucevic,ORL,45,31.1,18,27,1,1.2,9.2,3.6,6.5,56.2,Center
