Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
30,26,2017-12-18,19-317,CHO,,NYK,W (+18),0,3:24,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,4,2.4,-2
31,27,2017-12-20,19-319,CHO,,TOR,L (-18),0,14:05,3,6,.500,2,4,.500,0,0,,0,0,0,4,1,0,1,1,8,7.4,+3
32,28,2017-12-22,19-321,CHO,@,MIL,L (-5),0,9:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
33,29,2017-12-23,19-322,CHO,,MIL,W (+5),0,1:45,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1
34,,2017-12-27,19-326,CHO,,BOS,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
35,,2017-12-29,19-328,CHO,@,GSW,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
36,,2017-12-31,19-330,CHO,@,LAC,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
37,30,2018-01-02,19-332,CHO,@,SAC,W (+20),0,5:11,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,0,3,1.3,-2
38,31,2018-01-05,19-335,CHO,@,LAL,W (+14),0,2:49,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-5
39,32,2018-01-10,19-340,CHO,,DAL,L (-4),0,11:30,2,4,.500,2,4,.500,0,0,,0,0,0,2,0,0,0,0,6,5.4,+4
40,,2018-01-12,19-342,CHO,,UTA,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
41,33,2018-01-13,19-343,CHO,,OKC,L (-10),0,11:36,2,5,.400,1,4,.250,0,0,,0,1,1,1,0,0,0,2,5,2.5,-11
42,,2018-01-15,19-345,CHO,@,DET,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
43,34,2018-01-17,19-347,CHO,,WAS,W (+24),0,3:59,1,5,.200,1,3,.333,0,0,,0,1,1,1,1,0,0,0,3,1.9,+2
